v_idStart, v_idEnd
33,21
33,18
33,27
33,40
33,36
33,9
32,2
32,15
32,18
32,22
11,7
11,13
11,39
38,1
38,7
31,37
31,25
31,30
24,8
24,5
24,27
17,21
17,9
17,18
17,36
17,34
17,3
17,26
12,6
12,20
12,28
12,19
3,21
3,17
3,36
3,26
3,9
3,34
34,3
34,17
34,26
36,21
36,18
36,17
36,33
36,40
36,3
36,9
18,32
18,2
18,21
18,33
18,17
18,36
18,15
15,2
15,32
15,18
4,1
2,8
2,32
2,15
2,18
21,18
21,17
21,3
21,33
21,36
21,9
21,40
26,3
26,34
26,17
37,16
37,25
37,31
37,8
37,5
29,23
5,24
5,8
5,25
5,37
5,16
23,29
13,11
13,39
22,32
20,19
20,28
20,12
30,31
39,6
39,11
39,13
1,38
1,7
1,4
28,20
28,12
7,1
7,38
7,11
16,5
16,37
16,25
16,8
19,6
19,20
19,12
40,36
40,9
40,33
40,21
27,33
27,24
9,3
9,21
9,33
9,40
9,17
9,36
6,19
6,39
6,12
25,37
25,31
25,5
25,16
8,37
8,2
8,24
8,16
8,5
